remoteness_area, address_line_1, hospname, address_line_2, ogc_fid, state, _2012_13_peer_group_name, geocode_type, longitude, latitude
"Outer Regional","East Barrack Street","Deloraine Hospital","Deloraine 7304",596,"TAS","Other small public acute","establishment",146.6600342,-41.5275143
"Outer Regional","47 Anne Street","George Town Hospital","George Town 7253",597,"TAS","Other small public acute","establishment",146.821577,-41.1041274
"Outer Regional","23 Brickport Road","NWRH_Burnie","Burnie 7320",598,"TAS","Large public acute","establishment",145.8774715,-41.045904
"Very remote","Edward Street","King Is MPC","Currie 7256",599,"TAS","Other small public acute","establishment",143.8578941,-39.9298172
"Outer Regional","74 Brittons Road","Smithton Hospital","Smithton 7330",600,"TAS","Other small public acute","establishment",145.1303415,-40.8495976
"Remote","Orr Street","Health West","Queenstown 7467",601,"TAS","Other small public acute","establishment",145.558301,-42.081234
"Inner Regional","","Tasmania_public_psychiatric","Various",602,"TAS","Psychiatric public","establishment",145.8774715,-41.045904
"Inner Regional","20 Foster Street","Western District Health Service [Hamilton]","Hamilton 3300",603,"VIC","Small public acute with surgery/obstetrics","establishment",142.0309292,-37.7366582
"Outer Regional","146 Cobb Street","Western District Health Service [Penshurst]","Penshurst 3289",604,"VIC","Very small public","establishment",142.2822089,-37.8775929
"Inner Regional","2-28 Connor Street","Colac Area Health","Colac 3250",605,"VIC","Small public acute with surgery/obstetrics","establishment",143.5827862,-38.3412725
"Inner Regional","8 Gosney Street","Hesse Rural Health Service [Winchelsea]","Winchelsea 3241",606,"VIC","Very small public","establishment",143.9855464,-38.2434942
"Inner Regional","37-43 Mclachlan Street","Otway Health & Community Services [Apollo Bay]","Apollo Bay 3233",607,"VIC","Very small public","establishment",143.6645397,-38.7538081
"Outer Regional","63-69 Russell Street","Casterton Memorial Hospital","Casterton 3311",608,"VIC","Other small public acute","establishment",141.3923112,-37.5901371
"Outer Regional","119 McKebery Street","Western District Health Service [Coleraine District Health Service]","Coleraine 3315",609,"VIC","Very small public","establishment",141.6920629,-37.5996704
"Inner Regional","Ryot Street","South West Healthcare [Warrnambool]","Warrnambool 3280",610,"VIC","Large public acute","establishment",142.473434,-38.3801373
"Outer Regional","21 Barclay Street","Heywood Rural Health","Heywood 3304",611,"VIC","Very small public","establishment",141.6245136,-38.136376
"Inner Regional","30-36 Villiers Street","Moyne Health Services [Port Fairy]","Port Fairy 3284",612,"VIC","Other small public acute","establishment",142.2277967,-38.3814382
"Major Cities","45-95 Ballarat Road","Grace McKellar Centre [Geelong]","North Geelong 3215",613,"VIC","Non-acute public-mixed subacute and non-acute","establishment",144.3372015,-38.1195359
"Inner Regional","9 Robinson Street","South West Healthcare [Camperdownl]","Camperdown 3260",614,"VIC","Small public acute with surgery/obstetrics","establishment",143.1376722,-38.2370784
"Outer Regional","18 Dimboola Road","Rural Northwest Health [Warracknabeal]","Warracknabeal 3393",615,"VIC","Other small public acute","establishment",142.381872,-36.2523974
"Remote","12 Mitchell Place","Rural Northwest Health [Hopetoun]","Hopetoun 3396",616,"VIC","Very small public","establishment",142.3664857,-35.7322437
"Inner Regional","1 Dummond Street North","Ballarat Health Services [Base Campus]","Ballarat Central 3350",617,"VIC","Large public acute","establishment",143.8472356,-37.558752
"Inner Regional","102 Ascot Street","Ballarat Health Services [Queen Elizabeth Campus]","Ballarat 3350",618,"VIC","Non-acute public-rehabilitation and GEM","establishment",143.841884,-37.563426
"Outer Regional","83 Baillie Street","Wimmera Base Hospital [Horsham]","Horsham 3400",619,"VIC","Small public acute with surgery/obstetrics","establishment",142.208812,-36.7125503
"Outer Regional","89 Cromie Street","Dunmunkle Health Services [Murtoa]","Rupanyup 3388",620,"VIC","Outpatient hospital","establishment",142.631907,-36.636555
"Inner Regional","27-29 Sloane Street","Stawell Regional Health","Stawell 3380",621,"VIC","Small public acute with surgery/obstetrics","doctor",142.7813821,-37.0594054
"Outer Regional","45 Nelson Street","West Wimmera Health Service [Nhill]","Nhill 3418",622,"VIC","Small public acute with surgery/obstetrics","establishment",141.6554493,-36.3341406
"Outer Regional","9 Farmers Street","West Wimmera Health Service [Kaniva]","Kaniva 3419",623,"VIC","Very small public","establishment",141.2455934,-36.3815278
"Outer Regional","2 Charles Street","West Wimmera Health Service [Jeparit]","Jeparit 3423",624,"VIC","Very small public","establishment",141.98468,-36.1411741
"Remote","2 Swinbourne Avenue","West Wimmera Health Service [Rainbow]","Rainbow 3424",625,"VIC","Very small public","establishment",141.9951413,-35.903895
"Outer Regional","52 North Western Road","East Wimmera Health Service [St Arnaud]","St Arnaud 3478",626,"VIC","Small public acute with surgery/obstetrics","establishment",143.2469354,-36.6094014
"Inner Regional","29-35 Grant Street","Djerriwarrh Health Service [Bacchus Marsh]","Bacchus Marsh 3340",627,"VIC","Small public acute with surgery/obstetrics","establishment",144.434449,-37.678001
"Outer Regional","32-36 Anderson Street","Dimboola District Hospital","Dimboola 3414",628,"VIC","Other small public acute","establishment",142.0249989,-36.4492095
"Inner Regional","13 Hospital Street","Daylesford District Hospital","Daylesford 3460",629,"VIC","Other small public acute","establishment",144.1455069,-37.3373553
"Inner Regional","1 Napier Street","Creswick District Hospital","Creswick 3363",630,"VIC","Very small public","establishment",143.8916525,-37.4213915
"Inner Regional","62 Lucan Street","Bendigo Hospital The","Bendigo 3550",631,"VIC","Large public acute","establishment",144.283363,-36.749354
"Inner Regional","14 Coyle Street","Goulburn Valley Health [Waranga]","Rushworth 3612",632,"VIC","Very small public","establishment",145.0165466,-36.5872391
"Inner Regional","39 Hospital Street","Heathcote Health","Heathcote 3523",633,"VIC","Other small public acute","establishment",144.7094612,-36.9258503
"Inner Regional","75-87 Clarendon Street","Maryborough District Health Service [Maryborough]","Maryborough 3465",634,"VIC","Small public acute with surgery/obstetrics","establishment",143.7380368,-37.0448433
"Inner Regional","20 Havelock Street","Maryborough District Health Service [Dunolly]","Dunolly 3472",635,"VIC","Very small public","establishment",143.7354779,-36.8553025
"Outer Regional","48 Splatt Street","Swan Hill District Health [Swan Hill]","Swan Hill 3585",636,"VIC","Small public acute with surgery/obstetrics","establishment",143.5563753,-35.3403325
"Outer Regional","Monash Avenue","Swan Hill District Health [Nyah]","Nyah West 3595",637,"VIC","Very small public","establishment",143.3555747,-35.1861312
"Outer Regional","19 Grandview Street","East Wimmera Health Service [Wycheproof]","Wycheproof 3527",638,"VIC","Very small public","establishment",143.2339955,-36.078634
"Outer Regional","144-158 King George Street","Cohuna District Hospital","Cohuna 3568",639,"VIC","Small public acute with surgery/obstetrics","establishment",144.2146253,-35.800276
"Inner Regional","9-27 Francis Street","Echuca Regional Health","Echuca 3564",640,"VIC","Small public acute with surgery/obstetrics","establishment",144.7488035,-36.1372798
"Outer Regional","13 Burgoyne Street","Kerang District Health","Kerang 3579",641,"VIC","Small public acute with surgery/obstetrics","establishment",143.9183936,-35.7240919
"Outer Regional","28 Britt Street","Mallee Track Health & Community Service","Ouyen 3490",642,"VIC","Very small public","establishment",142.312508,-35.0744664
"Inner Regional","Chapel Street","Maldon Hospital","Maldon 3463",643,"VIC","Very small public","establishment",144.0638653,-36.9924824
"Outer Regional","31 Kiniry Street","Boort District Health","Boort 3537",644,"VIC","Other small public acute","establishment",143.7274037,-36.111934
"Outer Regional","128-132 Latje Road","Robinvale District Health Services","Robinvale 3549",645,"VIC","Other small public acute","establishment",142.7814184,-34.5843353
"Outer Regional","7 Aitken Avenue","East Wimmera Health Service [Donald]","Donald 3480",646,"VIC","Other small public acute","establishment",142.9765151,-36.3666687
"Outer Regional","26 Duncan Street","East Wimmera Health Service [Birchip]","Birchip 3483",647,"VIC","Very small public","establishment",142.9153201,-35.9800811
null,"","Alpine Health","Various",735,"VIC",null,"establishment",146.9664894,-36.7334443
"Outer Regional","4 Menzies Street","East Wimmera Health Service [Charlton]","Charlton 3525",648,"VIC","Very small public","establishment",143.3530004,-36.2687784
"Inner Regional","142 Cornish Street","Castlemaine Health","Castlemaine 3450",649,"VIC","Small public acute with surgery/obstetrics","establishment",144.2116766,-37.0542662
"Inner Regional","35-47 Green Street","Northeast Health Wangaratta","Wangaratta 3677",650,"VIC","Large public acute","establishment",146.3136634,-36.3541427
"Outer Regional","25 Barree Street","Tallangatta Health Service","Tallangatta 3700",651,"VIC","Very small public","establishment",147.1832445,-36.2135018
"Inner Regional","69 Vermont Street","Albury Wodonga Health - Wodonga Camps","Wodonga 3690",652,"VIC","Medium public acute","establishment",146.8798617,-36.1319212
"Inner Regional","30 O'Donnell Avenue","Alpine Health [Myrtleford]","Myrtleford 3736",653,"VIC","Other small public acute","establishment",146.7284382,-36.5549135
"Outer Regional","36-42 Cobden Street","Alpine Health [Bright]","Bright 3741",654,"VIC","Small public acute with surgery/obstetrics","establishment",146.9664894,-36.7334443
"Outer Regional","10 Hollonds Street","Alpine Health [Mount Beauty]","Mt Beauty 3699",655,"VIC","Other small public acute","establishment",147.1693135,-36.7432455
"Outer Regional","53 Highett Street","Mansfield District Hospital","Mansfield 3722",656,"VIC","Small public acute with surgery/obstetrics","establishment",146.0860285,-37.0575225
"Inner Regional","20 Cooper Street","Alexandra District Hospital","Alexandra 3714",657,"VIC","Small public acute with surgery/obstetrics","establishment",145.7172472,-37.1940818
"Inner Regional","36-44 McDonnell Street","Nathalia District Hospital","Nathalia 3638",658,"VIC","Very small public","establishment",145.197655,-36.056341
"Inner Regional","52 Sydney Road","Beechworth Health Service","Beechworth 3747",659,"VIC","Other small public acute","establishment",146.691525,-36.349655
"Inner Regional","24-32 Broadway Street","Cobram District Hospital","Cobram 3644",660,"VIC","Other small public acute","dentist",145.6513746,-35.9160355
"Outer Regional","122 Day Street","Bairnsdale Regional Health Service","Bairnsdale 3875",661,"VIC","Small public acute with surgery/obstetrics","establishment",147.6087414,-37.8312441
"Inner Regional","41 Landsborough Street","West Gippsland Healthcare Group [Warragul]","Warragul 3820",662,"VIC","Medium public acute","establishment",145.9278279,-38.172926
"Inner Regional","235 Graham Street","Bass Coast Regional Health","Wonthaggi 3995",663,"VIC","Small public acute with surgery/obstetrics","establishment",145.5811644,-38.6080994
"Outer Regional","12 Easton Street","Omeo District Health","Omeo 3898",664,"VIC","Very small public","establishment",147.5969023,-37.09849
"Inner Regional","155 Guthridge Parade","Central Gippsland Health Service [Sale]","Sale 3850",665,"VIC","Large public acute","establishment",147.0807893,-38.1087287
"Inner Regional","69-75 Bridge Street","Korumburra Hospital","Korumburra 3950",666,"VIC","Small public acute with surgery/obstetrics","establishment",145.8280001,-38.4304179
"Inner Regional","66 Koonawarra Road","Leongatha Memorial Hospital","Leongatha 3953",667,"VIC","Small public acute with surgery/obstetrics","establishment",145.951411,-38.487372
"Inner Regional","10 Village Avenue","Latrobe Regional Hospital [Traralgon]","Traralgon 3844",668,"VIC","Large public acute","establishment",146.4716471,-38.2184037
"Inner Regional","48 Kent Street","Central Gippsland Health Service [Maffra]","Maffra 3860",669,"VIC","Other small public acute","establishment",146.983607,-37.960877
"Inner Regional","87 Station Road","South Gippsland Hospital [Foster]","Foster 3960",670,"VIC","Small public acute with surgery/obstetrics","establishment",146.2061304,-38.6588006
"Outer Regional","104 Boundary Road","Orbost Regional Health","Orbost 3888",671,"VIC","Small public acute with surgery/obstetrics","establishment",148.4651455,-37.7019255
"Major Cities","51 Nelson Road","Box Hill Hospital","Box Hill 3128",672,"VIC","Large public acute","establishment",145.118963,-37.813664
"Major Cities","246 Clayton Road","Monash Medical Centre [Clayton]","Clayton 3168",673,"VIC","Principal referral","establishment",145.1233865,-37.9206682
null,"","Ballarat Health Services","Various",736,"VIC",null,"establishment",143.8472356,-37.558752
"Major Cities","1-15 Mt Dandenong Road","Maroondah Hospital [East Ringwood]","Ringwood East 3135",674,"VIC","Large public acute","establishment",145.2439024,-37.8113963
"Major Cities","283 Cotham Road","St George's Health Service- Aged Care","Kew 3101",675,"VIC","Non-acute public-rehabilitation and GEM","establishment",145.0529941,-37.8090925
"Major Cities","104 Studley Park Road","Caritas Christi Hospice Ltd [Kew]","Kew 3101",676,"VIC","Non-acute public-rehabilitation and GEM","establishment",145.015607,-37.804495
"Major Cities","6 Mont Albert Road","Mercy Health - O'Connell Family Centre","Canterbury 3126",677,"VIC","Early parenting centres","establishment",145.061734,-37.816657
"Major Cities","321-345 Burwood Highway","Peter James Centre The (East Burwood)","Forest Hill 3131",678,"VIC","Non-acute public-rehabilitation and GEM","establishment",145.1646222,-37.8526299
"Major Cities","251 Mountain Highway","Wantirna Health","Wantirna 3152",679,"VIC","Non-acute public-rehabilitation and GEM","establishment",145.2254451,-37.8486488
"Major Cities","1 Yarra Boulevard","Royal Talbot Rehabilitation Centre [Kew]","Kew 3101",680,"VIC","Non-acute public-mixed subacute and non-acute","establishment",145.021451,-37.7879447
"Inner Regional","377 Maroondah Highway","Healesville and District Hospital","Healesville 3777",681,"VIC","Small public acute with surgery/obstetrics","establishment",145.5289012,-37.6469556
"Major Cities","25 Market Street","Yarra Ranges Health","Lilydale 3140",682,"VIC","Other day procedure hospital","establishment",145.351389,-37.756316
"Major Cities","823-865 Centre Road","Monash Medical Centre [Moorabbin]","East Bentleigh 3165",683,"VIC","Large public acute","establishment",145.0629937,-37.9214925
"Major Cities","1527 Point Nepean Road","Rosebud Hospital","Rosebud 3939",684,"VIC","Medium public acute","establishment",144.8849166,-38.3623626
"Major Cities","260-294 Kooyong Road","Caulfield General Medical Centre","Caulfield 3162",685,"VIC","Non-acute public-rehabilitation and GEM","establishment",145.0158661,-37.8838214
"Inner Regional","215 Rossiter Road","Kooweerup Regional Health Service","Koo Wee Rup 3981",686,"VIC","Very small public","establishment",145.4843879,-38.2004262
"Major Cities","400 Warrigal Road","Kingston Centre [Cheltenham]","Cheltenham 3192",687,"VIC","Non-acute public-mixed subacute and non-acute","establishment",145.0785717,-37.9550311
"Major Cities","105-135 David Street","Dandenong Campus","Dandenong 3175",688,"VIC","Large public acute","establishment",145.2184844,-37.9769435
"Major Cities","140-154 Sladen Street","Cranbourne Integrated Care Centre","Cranbourne 3977",689,"VIC","Other day procedure hospital","establishment",145.280643,-38.113329
"Major Cities","2 Hastings Road","Frankston Hospital","Frankston 3199",690,"VIC","Large public acute","establishment",145.1276749,-38.1496875
"Major Cities","476 Kooyong Road","Calvary Health Care Bethlehem Ltd","Caulfield 3162",691,"VIC","Non-acute public-rehabilitation and GEM","establishment",145.0134691,-37.8967511
"Major Cities","53 Thomas Street","Queen Elizabeth Centre [Noble Park]","Noble Park 3174",692,"VIC","Early parenting centres","establishment",145.178452,-37.972068
"Major Cities","52 Kangan Drive","Casey Hospital","Berwick 3806",693,"VIC","Medium public acute","establishment",145.3475889,-38.0450362
"Major Cities","125 Golf Links Road","Golf Links Road Rehabilitation Centre and PCU","Frankston 3199",694,"VIC","Non-acute public-rehabilitation and GEM","establishment",145.1498142,-38.1734671
"Major Cities","Corner of Tyalla Grove and Separation Street","The Mornington Centre","Mornington 3931",695,"VIC","Non-acute public-mixed subacute and non-acute","establishment",145.0412189,-38.2302218
"Major Cities","55 Commercial Road","Alfred The","Prahran 3181",696,"VIC","Principal referral","establishment",144.9818517,-37.8459604
"Major Cities","145 Studley Road","Austin Hospital [Heidelberg]","Heidelberg 3084",697,"VIC","Principal referral","establishment",145.0602786,-37.7564117
"Major Cities","300 Waterdale Road","Austin Hospital [Heidelberg Repatriation Hospital]","Heidelberg West 3081",698,"VIC","Small public acute with surgery/obstetrics","establishment",145.0477157,-37.7545796
"Major Cities","1231 Plenty Road","Bundoora Extended Care Centre","Bundoora 3083",699,"VIC","Non-acute public-mixed subacute and non-acute","establishment",145.0553443,-37.7013297
"Major Cities","163 Studley Road","Mercy Hospital for Women","Heidelberg 3084",700,"VIC","Womens","establishment",145.0611484,-37.7561681
"Major Cities","160 Gordon Street","Western Hospital [Footscray]","Footscray 3011",701,"VIC","Large public acute","establishment",144.8869177,-37.7921983
"Major Cities","50 Flemington Road","Royal Children's Hospital [Parkville]","Parkville 3052",702,"VIC","Childrens","establishment",144.9491788,-37.7941916
"Major Cities","20 Flemington Road","Royal Women's Hospital [Carlton]","Parkville 3052",703,"VIC","Womens","establishment",144.9548579,-37.7986147
"Major Cities","32 Gisborne Street","Royal Victorian Eye & Ear Hospital, The","East Melbourne 3002",704,"VIC","Other public acute specialised","establishment",144.9761133,-37.8091579
"Major Cities","185 Cooper Street","Northern Hospital The [Epping]","Epping 3076",705,"VIC","Large public acute","establishment",145.0144858,-37.652886
"Major Cities","300 Princes Highway","Mercy Public Hospital Inc.[Werribee]","Werribee 3030",706,"VIC","Medium public acute","establishment",144.6981041,-37.8870435
"Major Cities","35 Mavis Street","Orygen Inpatient Unit","Footscray 3011",707,"VIC","Psychiatric public","establishment",144.8869364,-37.7911887
"Major Cities","300 Grattan Street","Royal Melbourne Hospital [Parkville]","Parkville 3050",708,"VIC","Principal referral","establishment",144.956539,-37.799552
"Major Cities","34-54 Poplar Road","Royal Melbourne Hospital- Royal Park Campus","Parkville 3052",709,"VIC","Non-acute public-mixed subacute and non-acute","establishment",144.9468938,-37.7789454
"Major Cities","176 Furlong Road","Sunshine Hospital","St Albans 3021",710,"VIC","Medium public acute","establishment",144.815301,-37.7602193
"Major Cities","41 Victoria Parade","St Vincent's Hospital [Fitzroy]","Fitzroy 3065",711,"VIC","Principal referral","establishment",144.9750294,-37.8075864
"Major Cities","77B Railway Crescent","Williamstown Hospital","Williamstown 3016",712,"VIC","Medium public acute","establishment",144.8926764,-37.8637234
"Major Cities","2 St Andrews Place","Peter MacCallum Cancer Institute","East Melbourne 3002",713,"VIC","Other public acute specialised","establishment",144.956495,-37.8005435
"Major Cities","53 Adelaide Street","Tweddle Child & Family Health Centre [Footscray]","Footscray 3011",714,"VIC","Early parenting centres","establishment",144.8873488,-37.7974912
"Major Cities","7 Macedon Street","Sunbury Day Hospital","Sunbury 3429",715,"VIC","Other day procedure hospital","establishment",144.7325366,-37.5766271
"Major Cities","35 Johnstone Street","Broadmeadows Health Service","Broadmeadows 3047",716,"VIC","Small public acute with surgery/obstetrics","establishment",144.9127364,-37.6845675
"Major Cities","350 Craigieburn Road West","Craigieburn Health Service","Craigieburn 3064",717,"VIC","Other day procedure hospital","establishment",144.9189253,-37.5962837
"Major Cities","195-209 Barries Road","Melton Health","Melton West 3337",718,"VIC","Unpeered","establishment",144.5580643,-37.6869341
"Major Cities","720 Swanston Street","Dental Health Services Victoria","Carlton 3053",719,"VIC","Unpeered","dentist",144.964631,-37.7996151
"Inner Regional","201 Borella Road","Albury Wodonga Health - Albury Camps","Albury 2640",720,"VIC","Large public acute","establishment",146.9377197,-36.0785951
"Major Cities","Yarra Bend Road","VIFMH","Fairfield 3078",721,"VIC","Psychiatric public","establishment",145.0116586,-37.789047
"Major Cities","Yarra Bend Road","VIFMH-Prison Health Service (MAP)","Fairfield 3078",722,"VIC","Psychiatric public","establishment",145.0116586,-37.789047
"Major Cities","Riding-Boundary Road","Dame Phyllis Frost Centre - Marmak unit","Deer Park 3023",723,"VIC","Psychiatric public","establishment",144.7418901,-37.7820959
null,"","Djerriwarrh Health Service","Various",724,"VIC",null,"establishment",144.434449,-37.678001
null,"","Monash Health","Various",725,"VIC",null,"establishment",145.1233865,-37.9206682
null,"","Bendigo Health Care Group","Various",726,"VIC",null,"establishment",144.280769,-36.749617
null,"","Maryborough District Health Service","Various",727,"VIC",null,"establishment",143.7380368,-37.0448433
null,"","Swan Hill District Health","Various",728,"VIC",null,"establishment",143.5563753,-35.3403325
null,"","East Wimmera Health Service","Various",737,"VIC",null,"establishment",143.2469354,-36.6094014
null,"","Hepburn Health Service","Various",738,"VIC",null,"establishment",144.1457427,-37.3373435
null,"","Western District Health Service","Various",739,"VIC",null,"establishment",142.0309292,-37.7366582
null,"","Rural Northwest Health","Various",740,"VIC",null,"establishment",142.381872,-36.2523974
null,"","South West Healthcare","Various",741,"VIC",null,"establishment",142.473434,-38.3801373
null,"","Central Gippsland Health Service","Various",742,"VIC",null,"establishment",147.0807893,-38.1087287
null,"","Western Health","Various",743,"VIC",null,"establishment",144.815301,-37.7602193
null,"","Northern Health","Various",744,"VIC",null,"establishment",145.0144858,-37.652886
null,"","Eastern Health","Various",745,"VIC",null,"establishment",145.1184531,-37.814519
null,"","Alfred Health","Various",746,"VIC",null,"establishment",144.9818517,-37.8459604
null,"","Melbourne Health","Various",747,"VIC",null,"establishment",144.956539,-37.799552
"Major Cities","374 BAGOT RD","King Edward Memorial Hospital for Women","SUBIACO 6008",748,"WA","Womens","establishment",115.8189896,-31.9498781
"Major Cities","HOSPITAL AV","Sir Charles Gairdner Hospital","NEDLANDS 6009",749,"WA","Principal referral","establishment",115.8161916,-31.9683417
"Major Cities","2 SELBY ST","Selby Authorised Lodge","SHENTON PARK 6008",750,"WA","Psychiatric public","establishment",115.8045748,-31.9317936
"Major Cities","OSBORNE PLCE","Osborne Park Hospital","STIRLING 6021",751,"WA","Small public acute with surgery/obstetrics","establishment",115.8043529,-31.8858962
"Major Cities","EVELINE RD","Swan District Hospital","MIDDLE SWAN 6056",752,"WA","Medium public acute","establishment",116.0068677,-31.8763572
"Major Cities","32 MOORE ST","Next Step Drug And Alcohol Services, East Perth","EAST PERTH 6004",753,"WA","Drug and alcohol hospital","establishment",115.8690209,-31.9533786
"Major Cities","SELBY ST","Royal Perth Hospital Shenton Park Campus","SHENTON PARK 6008",754,"WA","Small public acute with surgery/obstetrics","establishment",115.8036308,-31.9554803
"Major Cities","WELLINGTON ST","Royal Perth Hospital Wellington Street Campus","PERTH 6000",755,"WA","Principal referral","establishment",115.8669958,-31.9535083
"Major Cities","3056 ALBANY HWY","Armadale-Kelmscott Memorial Hospital","MOUNT NASURA 6112",756,"WA","Large public acute","establishment",116.0188544,-32.1331607
"Major Cities","33 MILLS ST","Bentley Hospital","BENTLEY 6102",757,"WA","Unpeered","doctor",115.9277019,-32.0054717
"Major Cities","110 LAKES RD","Peel Health Campus","MANDURAH 6210",758,"WA","Medium public acute","establishment",115.763789,-32.5325562
"Very remote","70 ROBERTA AV","Halls Creek Hospital","HALLS CREEK 6770",759,"WA","Other small public acute","establishment",127.6663765,-18.2257995
"Very remote","MINDEROO RD","Wyndham Hospital","WYNDHAM 6740",760,"WA","Other small public acute","establishment",128.1264175,-15.4783342
"Remote","96 COOLIBAH DR","Kununurra Hospital","KUNUNURRA 6743",761,"WA","Small public acute with surgery/obstetrics","establishment",128.7341187,-15.7752304
"Remote","34 COLEBATCH WAY","Hedland Health Campus","SOUTH HEDLAND 6722",762,"WA","Small public acute with surgery/obstetrics","establishment",118.5989128,-20.4133184
"Very remote","MINE RD","Tom Price Hospital","TOM PRICE 6751",763,"WA","Other small public acute","establishment",117.7902462,-22.695448
"Remote","MILLSTREAM RD","Nickol Bay Hospital","KARRATHA 6714",764,"WA","Small public acute with surgery/obstetrics","establishment",116.8177684,-20.7467561
"Remote","KAIBER ST","Kalbarri Health Centre","KALBARRI 6536",765,"WA","Very small public","establishment",114.1614346,-27.7128813
"Outer Regional","48 BLENHEIM RD","Dongara Multi-Purpose Health Centre","DONGARA 6525",766,"WA","Very small public","establishment",114.9343116,-29.2647496
"Outer Regional","WARWICK ST","Wagin Hospital","WAGIN 6315",767,"WA","Very small public","establishment",117.347299,-33.3047853
"Remote","35 DUNSTALL ST","Bruce Rock Memorial Hospital","BRUCE ROCK 6418",768,"WA","Very small public","premise",144.7296887,-37.736505
"Remote","49 KIRKWOOD ST","Corrigin Hospital","CORRIGIN 6375",769,"WA","Very small public","establishment",117.878848,-32.324136
"Outer Regional","51 GREGORY ST","Kellerberrin Memorial Hospital","KELLERBERRIN 6410",770,"WA","Very small public","establishment",117.7163048,-31.6299665
"Remote","GRAHAM ST","Kondinin Hospital","KONDININ 6367",771,"WA","Very small public","establishment",118.265664,-32.488903
"Outer Regional","38 STRATFORD ST","Pingelly Hospital","PINGELLY 6308",772,"WA","Very small public","establishment",117.0867287,-32.5325735
"Outer Regional","HARRIS ST","Quairading Hospital","QUAIRADING 6383",773,"WA","Very small public","establishment",117.4006094,-32.0142216
"Very remote","TALBOT ST","Norseman Hospital","NORSEMAN 6443",774,"WA","Very small public","establishment",121.7670948,-32.199774
"Outer Regional","WARDEN AV","Albany Hospital","ALBANY 6330",775,"WA","Medium public acute","establishment",117.9028684,-35.0033679
"Very remote","MARTIN ST","Ravensthorpe Hospital","RAVENSTHORPE 6346",776,"WA","Very small public","doctor",120.0437707,-33.584552
"Inner Regional","45 HAYWARD ST","Harvey Hospital","HARVEY 6220",777,"WA","Other small public acute","establishment",115.8969796,-33.0777254
"Outer Regional","HOSPITAL DR","Boyup Brook Soldiers Memorial Hospital","BOYUP BROOK 6244",778,"WA","Very small public","establishment",115.778798,-31.987868
"Outer Regional","HOSPITAL AV","Warren Hospital","MANJIMUP 6258",779,"WA","Small public acute with surgery/obstetrics","establishment",116.153467,-34.2398174
